state,year,Precip_mm,Max_Temp_C,Min_Temp_C,median_household_income,median_gross_rent,health_insurance_coverage,"DTP, DTaP, or DT",Exemption,Hepatitis B,MMR,MMR (PAC),Polio,Varicella,cases,"DTP, DTaP, or DT_missing",MMR_missing,MMR (PAC)_missing,Polio_missing,Varicella_missing,Hepatitis B_missing,Exemption_missing,Precip_mm_missing,Max_Temp_C_missing,Min_Temp_C_missing,median_household_income_missing,median_gross_rent_missing,health_insurance_coverage_missing,temp_range,income_per_capita
AK,2020,3.413333333333333,11.856666666666666,5.636666666666667,77790.0,1240.0,711104.0,80.9,2.6666666666666665,82.65,80.8,95.15,80.75,78.94999999999999,0,1,1,1,1,1,1,0,0,0,0,0,0,0,6.219999999999999,0.10939312759719029
AK,2021,0.2590288616375573,9.401635692738632,4.335280897615456,80287.0,1279.0,709438.0,78.0,3.0666666666666664,79.8,78.0,95.7,77.1,76.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.066354795123176,0.11316970169387361
AK,2022,6.153205964958839,10.478086025830278,5.192659663133801,86370.0,1345.0,706392.0,83.8,3.8,85.5,83.6,94.6,84.4,81.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.285426362696477,0.12226904853247414
AL,2016,3.8546821486990193,25.26515377481182,18.404719532964968,44758.0,728.0,4761291.0,93.8,0.4666666666666666,95.2,93.8,98.75,93.8,93.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6.860434241846853,0.009400389642139151
AL,2017,6.516682695300342,24.72672027399033,18.34177714169645,46472.0,747.0,4770692.0,92.7,0.6,95.2,92.7,99.1,92.7,92.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.3849431322938806,0.009741142429412247
AL,2018,4.329649427642022,23.77937387489543,18.30864655437324,48486.0,772.0,4785040.0,90.6,0.6,95.2,90.6,99.2,90.6,90.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.47072732052219,0.010132828537937292
AL,2019,4.30363754534991,24.758448230004728,18.28972523728109,50536.0,792.0,4797215.0,86.6,0.7999999999999999,95.2,86.6,98.8,86.6,86.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.468722992723638,0.010534443310453397
AL,2020,3.690789223084373,25.44683462060857,20.41380283403272,52035.0,811.0,4813429.0,94.7,0.8333333333333334,95.2,94.7,98.7,94.7,94.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.033031786575851,0.010810378461928396
AL,2021,6.203238747413479,23.84523343511005,18.483035088764737,54943.0,852.0,4920010.0,94.9,1.1333333333333333,95.2,94.9,98.3,94.9,94.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.362198346345313,0.011167251455332112
AL,2022,4.447187230426619,24.958692065038488,18.03253110576159,59609.0,925.0,4944981.0,93.9,1.3333333333333333,95.2,93.9,98.0,93.9,93.9,59,0,0,0,0,0,1,0,0,0,0,0,0,0,6.926160959276899,0.012054442260861617
AR,2016,2.442396180941787,22.929901614668854,11.55135230503028,42336.0,689.0,2915402.0,89.2,0.9333333333333332,93.8,91.9,98.2,89.0,91.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.378549309638574,0.014521491539934617
AR,2017,2.7253085830411807,22.58732027884364,11.099633826067642,43813.0,709.0,2924569.0,91.3,1.1333333333333335,93.7,91.9,98.5,91.3,91.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.487686452776,0.014981005754692142
AR,2018,3.9180171530977983,21.05579755725056,10.28336191447287,45726.0,729.0,2937135.0,93.4,1.8,96.4,94.2,98.2,93.6,93.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77243564277769,0.01556822700753387
AR,2019,3.681842619745845,20.248956566031094,9.510089100122473,47597.0,745.0,2945234.0,93.2,1.3,96.0,94.3,98.2,93.4,93.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.738867465908621,0.016160679877836575
AR,2020,3.565697937025735,21.05707949308756,10.631824756784434,49475.0,760.0,2957271.0,92.3,1.3333333333333333,95.9,93.2,98.4,92.7,92.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.425254736303126,0.016729945706718895
AR,2021,3.263318499442788,21.585920378904248,10.456851638504864,52123.0,803.0,2955770.0,91.3,1.6666666666666667,95.5,92.5,97.5,91.4,91.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.129068740399385,0.017634316054931185
AR,2022,2.834572629199993,21.5494092421915,9.738673195084486,56335.0,868.0,2964272.0,90.6,2.066666666666667,94.6,91.9,97.0,90.7,91.1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11.810736047107016,0.019004659827215643
AZ,2016,0.1952215169887583,33.65727287525856,15.224406276343196,51340.0,937.0,6620233.0,93.9,3.4,95.3,94.0,95.0,94.4,96.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.432866598915368,0.007755012889272494
AZ,2017,0.1590150911024116,33.309087922975486,16.29299319234726,53510.0,972.0,6701990.0,93.5,3.866666666666666,94.9,93.4,95.3,93.9,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.016094730628225,0.007984194547560568
AZ,2018,0.4407248840611759,33.190726282804455,14.55712241834533,56213.0,1009.0,6838270.0,92.7,4.0,94.4,92.9,94.7,93.2,95.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.633603864459126,0.008220352776308514
AZ,2019,0.2834842376032307,31.793547352406048,14.825440994614334,58945.0,1052.0,6941028.0,92.6,3.7,94.1,92.8,95.3,93.1,95.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96810635779171,0.008492256695657084
AZ,2020,0.3692185007974481,33.65846054530265,15.89162838225039,61529.0,1097.0,7065326.0,92.0,3.6666666666666665,94.5,91.9,95.6,92.3,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.766832163052264,0.0087085848963537
AZ,2021,0.239578823953824,33.13715291180268,15.46024336409205,65913.0,1172.0,6976512.0,90.5,4.566666666666666,93.4,90.6,94.2,90.9,94.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67690954771063,0.00944784307002653
AZ,2022,0.2351701631701631,32.75622577315331,15.836826273699463,72581.0,1308.0,7060320.0,89.6,4.966666666666667,92.9,89.9,93.3,90.3,94.1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,16.919399499453846,0.010280127489954069
CA,2016,0.0992312445927573,33.75288623161538,18.64776201952787,63783.0,1297.0,38151997.0,96.9,0.7333333333333334,97.8,97.3,99.45,97.3,98.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.105124212087507,0.001671812836643575
CA,2017,0.1059728622631848,34.09155657962109,19.21561891961085,67169.0,1358.0,38488069.0,96.4,0.7,97.6,96.9,99.3,96.8,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87593766001024,0.0017451901329424936
CA,2018,0.0632776497695852,34.22883320532514,19.350519073220685,71228.0,1429.0,38653948.0,96.0,0.6,97.4,96.5,99.4,96.5,97.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.878314132104453,0.0018427095249698808
CA,2019,0.2289432923707117,32.582923067076294,18.65045698924732,75235.0,1503.0,38787337.0,96.2,0.8,97.4,96.5,99.2,96.6,96.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.932466077828973,0.0019396793871237052
CA,2020,0.0646162402669632,34.114121863799284,18.93429644048944,78672.0,1586.0,38838726.0,94.7,0.5,97.0,95.1,99.5,95.2,94.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.179825423309843,0.002025607069974255
CA,2021,0.1482168458781362,34.18822900665643,19.481318484383,84097.0,1698.0,38946377.0,95.7,0.25,97.3,96.3,99.7,96.2,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.706910522273429,0.0021593022077688456
CA,2022,0.1480459549411162,34.120831413210446,19.593641193036355,91905.0,1856.0,38874540.0,95.6,0.2,97.3,96.5,99.8,96.3,96.1,313,0,0,0,0,0,0,0,0,0,0,0,0,0,14.527190220174091,0.002364143669246153
CO,2016,1.003972623903102,22.07314083549624,3.0888861080212577,62520.0,1057.0,5267878.0,86.8,1.9,91.4,87.3,95.8,86.1,86.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.984254727474983,0.011868154147048556
CO,2017,1.774822708653354,21.25705773169483,3.281216077828981,65458.0,1125.0,5344703.0,88.6,3.1333333333333333,92.0,88.7,95.7,88.6,87.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.97584165386585,0.012247263833506963
CO,2018,1.3838984895033282,20.964374039938555,2.729331797235023,68811.0,1196.0,5439267.0,90.3,3.266666666666667,90.8,87.4,95.5,87.2,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.235042242703532,0.012650783156851253
